"Protein","Label","log2FC","SE","DF","pvalue","adj.pvalue","issue"
"sp|A2A368|MAGBG_HUMAN","MBC Squamous vs Normal",0.251667901355655,0.342489798039524,27.4995552230615,0.468670408552152,0.690867693212647,NA
"sp|A2A368|MAGBG_HUMAN","MBC Sarcomatoid vs Normal",0.0919693230036329,0.321283909260665,27.4995552230602,0.77682785311855,0.929309740650473,NA
"sp|A2A368|MAGBG_HUMAN","TNBC vs Normal",0.898051870393526,0.30633218800662,27.4995552230649,0.00671731267795136,0.0495717796358838,NA
"sp|A2A3L6|TTC24_HUMAN","MBC Spindle vs Normal",1.57474704670551,0.764957354015178,25.7430397955449,0.0497854924609574,0.176557573514423,NA
"sp|A2A3L6|TTC24_HUMAN","MBC Squamous vs Normal",-0.817571831349149,0.853126060569694,25.6291361668254,0.346852794217115,0.59939901119455,NA
"sp|A2A3L6|TTC24_HUMAN","MBC Sarcomatoid vs Normal",-1.15523518058861,0.799499144929715,25.5828160994564,0.160610611212397,0.532780246863766,NA
"sp|A2A3L6|TTC24_HUMAN","TNBC vs Normal",-0.608919608112582,0.760257965162485,25.458076352137,0.430579435216059,0.634412417375501,NA
"sp|A2RRP1|NBAS_HUMAN","MBC Spindle vs Normal",0.70997364615756,0.260188888416142,23.344594073624,0.0118787333477201,0.0737645888350145,NA
"sp|A2RRP1|NBAS_HUMAN","MBC Squamous vs Normal",0.534933337811264,0.279382861121875,20.7182450079357,0.0694416734688135,0.264102968367913,NA
"sp|A2RRP1|NBAS_HUMAN","MBC Sarcomatoid vs Normal",0.0207664052453117,0.262579772822695,20.9750221572253,0.937713821452178,0.983149079293693,NA
"sp|A2RRP1|NBAS_HUMAN","TNBC vs Normal",0.240783908345754,0.25298381809834,21.6792696196869,0.351702348945952,0.561416756341089,NA
"sp|A4D1P6|WDR91_HUMAN","MBC Spindle vs Normal",0.44363000937254,1.07476559379597,9.49955337449526,0.688936991514028,0.832134735802262,NA
