Protein,g2_g1.p-value,g2_g1.log2foldchange,g4_g3.p-value,g4_g3.log2foldchange
sp|O00541-2|PESC_HUMAN;sp|O00541|PESC_HUMAN,0.0214482948896977,-1.50760922600311,0.0421421044217523,-2.4446994094002
sp|O00560-3|SDCB1_HUMAN;sp|O00560|SDCB1_HUMAN,0.0370289799461085,-0.688996237884894,0.0236230804823783,-0.861710512048394
sp|O00566|MPP10_HUMAN,0.484709666865799,-0.347088878301658,0.00438449244205197,1.48636533914471
sp|O00567|NOP56_HUMAN,2.78601378429499e-05,-3.72470565995309,2.19632298246175e-05,-4.17020843811281
sp|O00571-2|DDX3X_HUMAN;sp|O00571|DDX3X_HUMAN,0,-3.71759429236721,1.92996729708739e-11,-3.08487836411445
sp|O00584|RNT2_HUMAN,0.0126094873316087,-0.877016997277505,0.00208742878777191,-1.31704100066075
sp|O00625|PIR_HUMAN,0.106032201642484,-0.635032938536528,0.0743122323635759,-0.760348893541262
sp|O00629|IMA3_HUMAN,0.368782587346379,-0.84067819139701,0.493623353764399,-0.672658364504726
sp|O00712-4|NFIB_HUMAN;sp|O00712|NFIB_HUMAN,0.119126182491386,-0.586152310488033,0.00694909001191935,-1.01789305848209
sp|O00743-2|PPP6_HUMAN;sp|O00743-3|PPP6_HUMAN;sp|O00743|PPP6_HUMAN,0.19623555130641,-0.900501151573861,0.147474670711598,-1.70256381810373
sp|O00754-2|MA2B1_HUMAN;sp|O00754|MA2B1_HUMAN,0.107206125872355,0.735664891739639,0.558505473044379,-0.467611317395376
sp|O00757|F16P2_HUMAN,0.96049721195703,0.0437734269581858,0.154650627682239,-1.74934225069806
sp|O00763-3|ACACB_HUMAN;sp|O00763|ACACB_HUMAN,0.000276838844650351,1.80290682908995,0.619914715535416,-0.258075507973385
sp|O00764|PDXK_HUMAN,0.159752005601661,-0.459410047912509,0.103015808168381,-0.599973596669616
sp|O00767|SCD_HUMAN,0.587411534503707,0.656203518087372,0.481457041358617,1.15408706325634
sp|O14556|G3PT_HUMAN,0.17978604730084,2.35918453802387,0.144767278324248,4.2354527686507
sp|O14558|HSPB6_HUMAN,1.00808250635964e-13,3.73743219699431,1.88943245937878e-07,2.62074017788166
sp|O14579|COPE_HUMAN,2.63122856836162e-13,-4.52697446178148,1.55407908764005e-08,-3.643470260704
sp|O14618|CCS_HUMAN,0.18512641359798,-0.819903848150619,0.699506143411577,0.199301415538027
sp|O14684|PTGES_HUMAN,0.104432429992145,0.732713908051363,0.620634811326572,0.259575519479647
sp|O14735-3|CDIPT_HUMAN;sp|O14735|CDIPT_HUMAN,0.320249781306944,-0.380822982856717,0.8848012070251,-0.060396205113973
sp|O14737|PDCD5_HUMAN,0.00446184585035247,-2.31784769052765,0.0242896496314351,-2.00796699394299
sp|O14744-5|ANM5_HUMAN;sp|O14744|ANM5_HUMAN,0.158939115587496,-1.0053746413372,0.00727793572967239,-2.55667560942381
sp|O14745|NHRF1_HUMAN,0.000100505529414541,-3.06187997644142,1.56010883229918e-05,-3.081086606849
sp|O14773-2|TPP1_HUMAN;sp|O14773|TPP1_HUMAN,0.00370838308890109,-2.59637802602129,0.0289561820162709,-2.21635835744123
sp|O14776-2|TCRG1_HUMAN;sp|O14776|TCRG1_HUMAN,0.0113012025766372,-1.2381928432881,3.50751949018679e-05,-2.41469052920954
sp|O14786-2|NRP1_HUMAN;sp|O14786-3|NRP1_HUMAN;sp|O14786|NRP1_HUMAN,0.0500506869596193,-0.686448533078166,0.00842926241085484,-0.921414835231521
sp|O14787-2|TNPO2_HUMAN,0.835585770142254,-0.153953317610029,0.416995212786653,-0.492331515919965
sp|O14791-3|APOL1_HUMAN;sp|O14791|APOL1_HUMAN,0.85593922460923,-0.0959720415687076,0.807815916851455,0.102360827998185
sp|O14802|RPC1_HUMAN,0.0270469121334169,1.97208708348927,0.931603280215159,0.0617618444368051
sp|O14818|PSA7_HUMAN,0.000449787824692738,-2.62384319531788,0.00150554798425739,-2.7143724257981
sp|O14828-2|SCAM3_HUMAN;sp|O14828|SCAM3_HUMAN,0.629598300224561,0.420211928240096,0.662994856692478,0.394371415606146
sp|O14841|OPLA_HUMAN,0.216538392537079,-0.626634523504591,0.842009526289188,0.0823428454926558
sp|O14879|IFIT3_HUMAN,0.406705224809611,-0.655545398703062,0.0403579184073011,-2.14194331700735
sp|O14880|MGST3_HUMAN,0.99346735502745,0.0108488867122181,0.396443242958312,1.31065114841222
sp|O14907|TX1B3_HUMAN,0.0131818175749832,-0.527524994825866,0.000349061844434173,-0.965236062897866
sp|O14929-2|HAT1_HUMAN;sp|O14929|HAT1_HUMAN,0.94143397094374,0.0642115342546866,0.517857836039981,-0.670954340847708
sp|O14933|UB2L6_HUMAN,0.00170607022795766,-2.08917700302614,0.117964417908716,-1.1521407850121
sp|O14949|QCR8_HUMAN,0.00921831272774742,1.56906196772102,0.00620020346611705,1.8669792844942
sp|O14950|ML12B_HUMAN;sp|P19105|ML12A_HUMAN,0.0120480144854094,-1.34943910141743,0.0175834865359223,-1.47238008221759
sp|O14964-2|HGS_HUMAN;sp|O14964|HGS_HUMAN,0.215557011350323,-0.989549219802343,0.604064294519442,-0.443535309993007
sp|O14974-3|MYPT1_HUMAN;sp|O14974-4|MYPT1_HUMAN;sp|O14974-5|MYPT1_HUMAN;sp|O14974|MYPT1_HUMAN,0.423640762612524,-0.759695554212149,0.357977347284914,-0.565523841651096
sp|O14976-2|GAK_HUMAN;sp|O14976|GAK_HUMAN,0.945539737998424,-0.0554759729568897,0.00555359238362607,-1.82224284141926
sp|O14979|HNRDL_HUMAN,1.25777731208032e-06,-4.1858126926309,1.23554850572916e-06,-3.71276857818627
sp|O14980|XPO1_HUMAN,0,-4.60615911663405,9.45910016980633e-14,-4.19879154835622
sp|O15020|SPTN2_HUMAN,0.623795589737392,-0.407811009740587,0.784123920278524,-0.263743842490174
sp|O15027-5|SC16A_HUMAN,0.000715401022620687,-1.21127030580875,0.626418680686797,-0.214607789863381
sp|O15031|PLXB2_HUMAN,0.168071991870303,-1.26644768469975,0.734107995756397,0.297611938206985
sp|O15061|SYNEM_HUMAN,0.92815100999329,-0.0476827554874456,0.835872366306571,0.13103545232478
sp|O15067|PUR4_HUMAN,0.26216142958714,-0.660881515737699,0.00566195609841458,-1.78473838166195
sp|O15075-2|DCLK1_HUMAN;sp|O15075|DCLK1_HUMAN,0.664993764320528,0.194731363001427,0.935505735541832,0.0401908302618154
sp|O15116|LSM1_HUMAN,0.895339353261765,0.0743243547196628,0.89404791112675,-0.100418981321526
sp|O15127|SCAM2_HUMAN,0.256925308286633,-0.857927189054038,0.146544261652805,-1.08611320722584
sp|O15143|ARC1B_HUMAN,3.67703358317151e-05,-2.06008709364781,0.000307795732541472,-2.25580285356723
