Protein,axillary metastatic lymph nodes tissues-adjacent breast tissues,non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues,primary breast tumor tissues-non-tumor contralateral breast tissues,adjacent breast tissues-primary breast tumor tissues
sp|O00151|PDLI1_HUMAN,2.63999123645752,-2.18603812517445,2.12423915308483,-2.57819226436791
sp|O00159|MYO1C_HUMAN,-2.73495913688388,2.57145557509469,-2.17884995903441,2.3423535208236
sp|O00161-2|SNP23_HUMAN;sp|O00161|SNP23_HUMAN,2.40294001334561,-1.8881088130252,0.818661871049331,-1.33349307136975
sp|O00170|AIP_HUMAN,2.04601303765255,-1.96717416691865,0.889947149286397,-0.968786020020301
sp|O00186|STXB3_HUMAN,0.0016110791449089,-0.329535135504672,0.409811545892782,-0.0818874895330192
sp|O00194|RB27B_HUMAN,0.425905029497102,-1.42865291368976,1.78841876329801,-0.785670879105349
sp|O00203-3|AP3B1_HUMAN;sp|O00203|AP3B1_HUMAN,2.70423532731992,-2.52223373375353,2.41913764779221,-2.6011392413586
sp|O00217|NDUS8_HUMAN,0.778346793747583,-1.25807225067841,1.19061037796247,-0.710884921031638
sp|O00231-2|PSD11_HUMAN;sp|O00231|PSD11_HUMAN,2.94208024842253,-3.2524973996013,2.90848953592084,-2.59807238474208
sp|O00264|PGRC1_HUMAN,1.14420437386708,-1.12259126885814,1.19675262946753,-1.21836573447648
sp|O00267-2|SPT5H_HUMAN;sp|O00267|SPT5H_HUMAN,1.18215445224029,-1.4588832580082,0.461036307987028,-0.184307502219121
sp|O00299|CLIC1_HUMAN,2.92018958081724,-2.62487178750848,2.56613321048828,-2.86145100379704
sp|O00303|EIF3F_HUMAN,2.73242095436713,-2.35876271813605,1.73948858269541,-2.11314681892649
sp|O00329|PK3CD_HUMAN,-0.32571672162796,-0.245835729301909,-0.63222385879978,1.20377630972965
sp|O00330-3|ODPX_HUMAN;sp|O00330|ODPX_HUMAN,0.998679735914069,-0.797573120451326,0.0391164016811564,-0.2402230171439
sp|O00339-2|MATN2_HUMAN;sp|O00339-3|MATN2_HUMAN;sp|O00339|MATN2_HUMAN,-0.11512628188699,0.529757405529707,0.109123006593947,-0.523754130236663
sp|O00391-2|QSOX1_HUMAN;sp|O00391|QSOX1_HUMAN,-0.443456355309254,0.65922206060552,0.915372275859648,-1.13113798115591
